code,hours,type
WRIT 13O1,3,COMM
WRIT 1302,3,COMM
WRIT 2311,3,COMM
ANTH 2346,3,LPC
COMM 1307,3,LPC
HUMN 1301,3,LPC
LITR 2341,3,LPC
PHIL 1301,3,LPC
WSGT 1301,3,LPC
ARTS 1303,3,ART
ARTS 1304,3,ART
ARTS 2379,3,ART
HIST 1301,3,HIST
HIST 1302,3,HIST
POLS 2305,3,POLI
POLS 2306,3,POLI
CRIM 1301,3,SOCI
ECON 2301,3,SOCI
ECON 2302,3,SOCI
GEOG 1303,3,SOCI
PSYC 2301,3,SOCI
SOCI 1301,3,SOCI
SOCI 1306,3,SOCI
COMM 1315,3,SOCI
PSYC 1100,1,COMP
CHEM 1311,3,MAJOR
CHEM 1111,1,MAJOR
PHYS 2325,3,MAJOR
PHYS 2326,3,MAJOR
PHYS 2126,1,MAJOR
PHYS 2125,1,MAJOR
MATH 2305,3,MAJOR
MATH 2318,3,MAJOR
MATH 2413,4,MAJOR
MATH 2414,4,MAJOR
STAT 3334,3,MAJOR
CSCI 1470,4,MAJOR
CSCI 1471,4,MAJOR
CSCI 2315,3,MAJOR
CSCI 2331,3,MAJOR
CSCI 3352,3,MAJOR
CSCI 4333,3,MAJOR
CSCI 4345,3,MAJOR
CSCI 4355,3,MAJOR
CSCI 4388,3,MAJOR
CENG 2312,3,MAJOR
CENG 2112,1,MAJOR
CENG 3331,3,MAJOR
CENG 3131,1,MAJOR
CENG 3351,3,MAJOR
CENG 3151,1,MAJOR
SWEN 4342,3,MAJOR
WRIT 3315,3,MAJOR
